id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10817,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19628143.0,19628143.0,False,,1,,,,2024-02-15T02:11:00.000Z,52065.77972398408,42085354472.27245,21.7907,-0.01809819,5.1522648,16.79853871,22.13275685,23.75348117,42.53434472,1021954569828.8601,52.534,1093381374203.67,,2024-02-15T02:11:00.000Z,,,,,,2024-02-14 20:12:52.731087
1027,Ethereum,ETH,ethereum,8410,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120166914.20327093,120166914.20327093,True,,2,,,,2024-02-15T02:11:00.000Z,2781.6964849738956,23032009926.775463,34.3859,-0.67456275,5.940632,14.32357043,10.46141146,24.95679083,39.91892392,334267882849.39844,17.2023,334267882849.4,,2024-02-15T02:11:00.000Z,,,,,,2024-02-14 20:12:52.731087
825,Tether USDt,USDT,tether,74653,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96961330982.85764,99600626148.56953,True,,3,,,,2024-02-15T02:10:00.000Z,1.000924879298004,68876252151.00449,23.6149,0.00584022,0.03831382,0.12099606,0.16907492,0.18876281,0.0803885,97051008510.5906,4.9945,99692744705.76,,2024-02-15T02:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-14 20:12:52.731087
5426,Solana,SOL,solana,626,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,437403178.87777376,569541282.3027052,True,,4,,,,2024-02-15T02:10:00.000Z,117.01460987088221,2517861453.914085,2.9306,-0.3477139,4.92716807,14.63723926,22.52250512,59.79420895,95.08038322,51182562332.666405,2.634,66644650954.01,,2024-02-15T02:10:00.000Z,,,,,,2024-02-14 20:12:52.731087
1839,BNB,BNB,bnb,2063,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149544891.48331702,149544891.48331702,False,,5,,,,2024-02-15T02:10:00.000Z,340.1544651045335,991672828.9544231,13.645,0.95436068,4.64228821,9.99398568,6.97172835,39.46716546,38.65676959,50868362571.6232,2.6178,50868362571.62,,2024-02-15T02:10:00.000Z,,,,,,2024-02-14 20:12:52.731087
1,Bitcoin,BTC,bitcoin,10817,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19628143.0,19628143.0,False,,1,,,,2024-02-15T02:20:00.000Z,52195.831500059845,42238447530.100296,22.5198,0.19617524,5.44253532,16.95397982,22.46516998,24.13415419,43.04204663,1024507244687.0791,52.5983,1096112461501.26,,2024-02-15T02:20:00.000Z,,,,,,2024-02-14 20:21:23.380579
1027,Ethereum,ETH,ethereum,8410,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120166914.20327093,120166914.20327093,True,,2,,,,2024-02-15T02:20:00.000Z,2797.0093177055646,23224259599.046394,36.1158,-0.23768927,6.45552278,14.91825491,11.05890947,25.71185802,40.9535573,336107978706.47394,17.2731,336107978706.47,,2024-02-15T02:20:00.000Z,,,,,,2024-02-14 20:21:23.380579
825,Tether USDt,USDT,tether,74653,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96961330982.85764,99600626148.56953,True,,3,,,,2024-02-15T02:19:00.000Z,1.000845450217456,69188252885.34677,24.4588,0.01019156,0.03377808,0.09668085,0.14519599,0.18353465,0.08026888,97043306961.22191,4.9872,99684833519.61,,2024-02-15T02:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-14 20:21:23.380579
5426,Solana,SOL,solana,626,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,437403007.88094425,569541111.3058757,True,,4,,,,2024-02-15T02:20:00.000Z,117.251224145884,2523200176.7286,3.4302,-0.08255431,5.17045211,14.51856426,22.66053203,59.79607774,96.88380021,51286038119.13246,2.6357,66779392502.02,,2024-02-15T02:20:00.000Z,,,,,,2024-02-14 20:21:23.380579
1839,BNB,BNB,bnb,2063,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149544878.57028574,149544878.57028574,False,,5,,,,2024-02-15T02:19:00.000Z,342.14964920179625,1005803972.7978662,15.3425,1.80478,5.24522378,10.64097698,7.7718881,40.22105083,39.50560378,51166727742.74848,2.6295,51166727742.75,,2024-02-15T02:19:00.000Z,,,,,,2024-02-14 20:21:23.380579
